Date,Open,High,Low,Close,Volume
2019-08-06,1.65,1.7,1.65,1.7,629221
2019-08-07,1.75,1.8,1.65,1.65,1181296
2019-08-08,1.65,1.7,1.6,1.65,650452
2019-08-09,1.65,1.7,1.6,1.65,372966
2019-08-13,1.7,1.75,1.65,1.65,697173
2019-08-14,1.65,1.75,1.65,1.7,973274
2019-08-16,1.7,1.75,1.65,1.65,373435
2019-08-19,1.7,1.8,1.65,1.75,731415
2019-08-20,1.75,1.8,1.65,1.7,274893
2019-08-21,1.65,1.75,1.55,1.7,1007522
2019-08-22,1.7,1.7,1.55,1.55,1421015
2019-08-23,1.6,1.65,1.5,1.6,658871
2019-08-26,1.65,1.65,1.55,1.6,510089
2019-08-27,1.65,1.65,1.55,1.6,833226
2019-08-28,1.6,1.6,1.45,1.5,1467696
2019-08-29,1.45,1.55,1.45,1.55,934368
2019-08-30,1.55,1.55,1.5,1.5,474799
2019-09-03,1.55,1.55,1.4,1.55,547374
2019-09-04,1.55,1.55,1.45,1.5,841226
2019-09-05,1.55,1.65,1.5,1.65,1167882
2019-09-06,1.65,1.75,1.6,1.65,1272333
2019-09-09,1.65,1.7,1.55,1.7,1355188
2019-09-11,1.65,1.85,1.6,1.85,4470440
2019-09-12,1.85,1.85,1.7,1.7,1605256
2019-09-13,1.75,1.75,1.7,1.7,555265
2019-09-16,1.65,1.85,1.65,1.8,1082007
2019-09-17,1.8,1.85,1.7,1.7,931236
2019-09-18,1.7,1.85,1.65,1.85,3847593
2019-09-19,2.0,2.0,1.8,1.85,4833873
2019-09-20,1.85,1.9,1.7,1.7,3173953
2019-09-23,1.75,1.85,1.7,1.8,1485995
2019-09-24,1.8,1.8,1.7,1.75,716466
2019-09-25,1.75,1.8,1.7,1.7,478383
2019-09-26,1.65,1.75,1.65,1.65,1211990
2019-09-27,1.7,1.7,1.55,1.6,916879
2019-09-30,1.6,1.6,1.45,1.5,2729474
2019-10-01,1.55,1.6,1.45,1.55,1320475
2019-10-03,1.55,1.6,1.45,1.5,588171
2019-10-04,1.5,1.65,1.45,1.6,3289831
2019-10-07,1.6,1.65,1.5,1.55,842815
2019-10-09,1.55,1.55,1.4,1.45,4033325
2019-10-10,1.5,1.5,1.35,1.4,1434131
2019-10-11,1.4,1.4,1.15,1.2,9052511
2019-10-14,1.2,1.25,1.1,1.15,5003936
2019-10-15,1.15,1.15,1.0,1.05,3637592
2019-10-16,1.0,1.1,1.0,1.05,3002007
2019-10-17,1.05,1.15,1.0,1.15,5687263
2019-10-18,1.15,1.25,1.1,1.15,3010883
2019-10-22,1.2,1.2,1.1,1.15,691815
2019-10-23,1.1,1.15,1.05,1.1,2721661
2019-10-24,1.1,1.15,1.05,1.15,2156115
2019-10-25,1.15,1.15,1.05,1.05,1400923
2019-10-27,1.05,1.15,1.05,1.15,917479
2019-10-29,1.2,1.2,1.1,1.1,2018450
2019-10-30,1.15,1.15,1.05,1.1,2063438
2019-10-31,1.1,1.2,1.05,1.15,11911390
2019-11-01,1.15,1.15,1.1,1.15,2650510
2019-11-04,1.15,1.15,1.1,1.1,2631719
2019-11-05,1.15,1.15,1.1,1.1,1273902
2019-11-06,1.1,1.15,1.1,1.1,1582995
2019-11-07,1.1,1.15,1.05,1.15,3498565
2019-11-08,1.1,1.2,1.1,1.1,3092589
2019-11-11,1.1,1.15,1.1,1.15,1851335
2019-11-13,1.1,1.15,1.05,1.05,5179274
2019-11-14,1.05,1.15,1.05,1.15,4430394
2019-11-15,1.15,1.2,1.1,1.15,1633988
2019-11-18,1.1,1.15,1.05,1.1,3268608
2019-11-19,1.1,1.15,1.05,1.1,1049166
2019-11-20,1.05,1.1,1.0,1.05,7976955
2019-11-21,1.05,1.05,1.0,1.05,1427737
2019-11-22,1.05,1.1,1.0,1.05,1883140
2019-11-25,1.05,1.1,1.0,1.05,3660707
2019-11-26,1.05,1.1,1.0,1.1,2847643
2019-11-27,1.1,1.1,1.05,1.1,1632087
2019-11-28,1.05,1.1,1.05,1.05,2564319
2019-11-29,1.1,1.15,1.0,1.15,11259575
2019-12-02,1.25,1.25,1.25,1.25,1243870
2019-12-03,1.35,1.35,1.35,1.35,327490
2019-12-04,1.4,1.4,1.4,1.4,1547046
2019-12-05,1.45,1.45,1.45,1.45,319927
2019-12-06,1.5,1.5,1.5,1.5,656564
2019-12-09,1.55,1.55,1.45,1.45,10826634
2019-12-10,1.4,1.4,1.4,1.4,290466
2019-12-11,1.35,1.35,1.35,1.35,293643
2019-12-12,1.3,1.4,1.3,1.4,13163922
2019-12-13,1.4,1.45,1.35,1.4,8358765
2019-12-16,1.45,1.45,1.35,1.35,3269524
2019-12-17,1.4,1.4,1.3,1.4,8042673
2019-12-18,1.4,1.45,1.35,1.4,6861080
2019-12-19,1.35,1.45,1.35,1.35,1457814
2019-12-20,1.35,1.4,1.3,1.35,731611
2019-12-23,1.35,1.4,1.3,1.3,3740909
2019-12-24,1.25,1.35,1.25,1.35,4345699
2019-12-26,1.35,1.4,1.3,1.4,5813823
2019-12-27,1.45,1.45,1.4,1.45,4457488
2019-12-30,1.5,1.5,1.4,1.5,6954016
2019-12-31,1.55,1.55,1.55,1.55,1284811
2020-01-01,1.6,1.6,1.6,1.6,1146701
